Name,Description,Size,NA0,BS1,BS4,,,SRA Accession,,,,,,,,,,,,,,,
SRR7663105,soil metagenome,10770,0,1,0,,,SRS1328024,soil metagenome,,,,,,,,SRS3454666,soil metagenome,,,,SRS1328024,soil metagenome
SRR7663109,soil metagenome,6156,1,0,0,,,SRS4347107,activated sludge metagenome,,,,SRS942336,soil metagenome,,,SRS958487,hot springs metagenome,,,,SRS4347107,activated sludge metagenome
SRR8245657,soil metagenome,12320,0,1,0,,,ERS785384,#N/A,,,,,,,,SRS1505137,aquatic metagenome,,,,ERS785384,soil metagenome
SRR8245741,soil metagenome,11256,1,0,0,,,SRS3454959,soil metagenome,,,,DRS026687,sediment metagenome,,,SRS3455125,soil metagenome,,,,SRS3454959,soil metagenome
SRR8245747,soil metagenome,20158,0,1,0,,,SRS3454745,soil metagenome,,,,,,,,ERS785465,soil metagenome,,,,SRS3454745,soil metagenome
SRR8245772,soil metagenome,20025,0,1,0,,,SRS3455209,soil metagenome,,,,ERS785400,soil metagenome,,,SRS3455117,soil metagenome,,,,SRS3455209,soil metagenome
SRR8245829,soil metagenome,13563,0,2,0,,,SRS3038152,soil metagenome,,,,,,,,SRS958468,hot springs metagenome,,,,SRS3038152,aquatic metagenome
SRR8474886,soil metagenome,26103,1,0,0,,,SRS958488,hot springs metagenome,,,,SRS1520035,freshwater metagenome,,,SRS1572630,peat metagenome,,,,SRS958488,hot springs metagenome
,,,,,,,,SRS2592950,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS2592950,marine sediment metagenome
,,,,,,,,ERS785460,soil metagenome,,,,SRS2789972,marine sediment metagenome,,,SRS1328024,soil metagenome,,,,ERS785460,soil metagenome
,,,,,,,,SRS3454642,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS3454642,soil metagenome
,,,,,,,,ERS1456357,soil metagenome,,,,SRS4347095,activated sludge metagenome,,,SRS1328024,soil metagenome,,,,ERS1456357,soil metagenome
,,,,,,,,SRS3455132,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS3455132,#N/A
,,,,,,,,SRS570812,#N/A,,,,SRS4114496,groundwater metagenome,,,SRS1328024,soil metagenome,,,,SRS570812,#N/A
,,,,,,,,SRS3454771,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS3454771,#N/A
,,,,,,,,SRS3454733,soil metagenome,,,,ERS785453,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS3454733,soil metagenome
,,,,,,,,SRS4189900,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS4189900,soil metagenome
,,,,,,,,SRS958433,hot springs metagenome,,,,SRS3454758,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS958433,hot springs metagenome
,,,,,,,,SRS2592997,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS2592997,marine sediment metagenome
,,,,,,,,SRS1328024,soil metagenome,,,,ERS1222774,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS1328024,soil metagenome
,,,,,,,,SRS1609401,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS1609401,soil metagenome
,,,,,,,,SRS3454638,soil metagenome,,,,SRS4347343,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS3454638,soil metagenome
,,,,,,,,SRS3455014,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS3455014,soil metagenome
,,,,,,,,ERS980746,soil metagenome,,,,SRS3454512,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS980746,soil metagenome
,,,,,,,,ERS785392,#N/A,,,,,,,,SRS1328024,soil metagenome,,,,ERS785392,soil metagenome
,,,,,,,,SRS3454492,soil metagenome,,,,SRS4347125,activated sludge metagenome,,,SRS1328024,soil metagenome,,,,SRS3454492,soil metagenome
,,,,,,,,SRS3038054,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS3038054,aquatic metagenome
,,,,,,,,SRS3455126,soil metagenome,,,,DRS026691,sediment metagenome,,,SRS1328024,soil metagenome,,,,SRS3455126,soil metagenome
,,,,,,,,SRS2592871,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS2592871,marine sediment metagenome
,,,,,,,,SRS2594301,marine sediment metagenome,,,,ERS785504,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS2594301,marine sediment metagenome
,,,,,,,,SRS3454738,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS3454738,soil metagenome
,,,,,,,,SRS3454639,soil metagenome,,,,SRS4347097,activated sludge metagenome,,,SRS1328024,soil metagenome,,,,SRS3454639,soil metagenome
,,,,,,,,SRS3454510,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS3454510,soil metagenome
,,,,,,,,ERS1798511,soil metagenome,,,,ERS1222757,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS1798511,soil metagenome
,,,,,,,,SRS631665,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS631665,soil metagenome
,,,,,,,,SRS631690,soil metagenome,,,,SRS958469,hot springs metagenome,,,SRS1328024,soil metagenome,,,,SRS631690,soil metagenome
,,,,,,,,SRS631699,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS631699,soil metagenome
,,,,,,,,SRS631721,soil metagenome,,,,ERS785408,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS631721,soil metagenome
,,,,,,,,SRS631735,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS631735,soil metagenome
,,,,,,,,SRS851331,soil metagenome,,,,SRS958489,hot springs metagenome,,,SRS1328024,soil metagenome,,,,SRS851331,soil metagenome
,,,,,,,,SRS3174525,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS3174525,soil metagenome
,,,,,,,,SRS3454525,soil metagenome,,,,ERS1222776,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS3454525,soil metagenome
,,,,,,,,SRS3454496,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS3454496,soil metagenome
,,,,,,,,ERS785376,soil metagenome,,,,SRS3454659,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS785376,soil metagenome
,,,,,,,,SRS4216700,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS4216700,soil metagenome
,,,,,,,,SRS2592955,marine sediment metagenome,,,,SRS3455124,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS2592955,marine sediment metagenome
,,,,,,,,SRS2592902,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS2592902,marine sediment metagenome
,,,,,,,,SRS1932281,soil metagenome,,,,SRS3020372,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS1932281,soil metagenome
,,,,,,,,ERS1264999,#N/A,,,,,,,,SRS1328024,soil metagenome,,,,ERS1264999,soil metagenome
,,,,,,,,SRS3315978,hydrocarbon metagenome,,,,SRS958420,hot springs metagenome,,,SRS1328024,soil metagenome,,,,SRS3315978,hydrocarbon metagenome
,,,,,,,,SRS570792,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS570792,hydrothermal vent metagenome
,,,,,,,,SRS1572635,peat metagenome,,,,ERS1264975,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS1572635,peat metagenome
,,,,,,,,SRS2767374,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS2767374,soil metagenome
,,,,,,,,SRS3454485,soil metagenome,,,,SRS1157462,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS3454485,soil metagenome
,,,,,,,,SRS3455349,soil metagenome,,,,SRS1157462,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS3455349,soil metagenome
,,,,,,,,SRS3455243,soil metagenome,,,,SRS1157462,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS3455243,soil metagenome
,,,,,,,,SRS958491,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS958491,hot springs metagenome
,,,,,,,,SRS3454701,soil metagenome,,,,SRS4391949,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS3454701,soil metagenome
,,,,,,,,SRS3454851,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS3454851,soil metagenome
,,,,,,,,SRS3455350,soil metagenome,,,,SRS4347109,activated sludge metagenome,,,SRS1328024,soil metagenome,,,,SRS3455350,soil metagenome
,,,,,,,,SRS2593090,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS2593090,marine sediment metagenome
,,,,,,,,SRS2592870,marine sediment metagenome,,,,SRS913800,seawater metagenome,,,SRS1328024,soil metagenome,,,,SRS2592870,marine sediment metagenome
,,,,,,,,SRS3454856,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS3454856,soil metagenome
,,,,,,,,SRS3455213,soil metagenome,,,,SRS3454882,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS3455213,soil metagenome
,,,,,,,,SRS4216706,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS4216706,soil metagenome
,,,,,,,,SRS4293842,marine sediment metagenome,,,,SRS3455007,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS4293842,marine sediment metagenome
,,,,,,,,ERS1059019,#N/A,,,,,,,,SRS1328024,soil metagenome,,,,ERS1059019,soil metagenome
,,,,,,,,SRS3455128,soil metagenome,,,,SRS1572641,peat metagenome,,,SRS1328024,soil metagenome,,,,SRS3455128,soil metagenome
,,,,,,,,ERS1222773,#N/A,,,,,,,,SRS1328024,soil metagenome,,,,ERS1222773,soil metagenome
,,,,,,,,SRS3454516,soil metagenome,,,,ERS785391,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS3454516,soil metagenome
,,,,,,,,SRS4414917,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS4414917,soil metagenome
,,,,,,,,SRS3455005,soil metagenome,,,,SRS1565962,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS3455005,soil metagenome
,,,,,,,,SRS2594300,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS2594300,marine sediment metagenome
,,,,,,,,ERS785474,soil metagenome,,,,ERS785469,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS785474,soil metagenome
,,,,,,,,SRS3454661,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS3454661,soil metagenome
,,,,,,,,SRS4189831,soil metagenome,,,,ERS785502,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS4189831,soil metagenome
,,,,,,,,ERS785437,#N/A,,,,,,,,SRS1328024,soil metagenome,,,,ERS785437,soil metagenome
,,,,,,,,ERS785445,soil metagenome,,,,ERS785506,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS785445,soil metagenome
,,,,,,,,SRS3454531,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS3454531,soil metagenome
,,,,,,,,SRS3455270,soil metagenome,,,,SRS1299787,hydrocarbon metagenome,,,SRS1328024,soil metagenome,,,,SRS3455270,soil metagenome
,,,,,,,,SRS4189878,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS4189878,soil metagenome
,,,,,,,,SRS958434,hot springs metagenome,,,,SRS4347096,activated sludge metagenome,,,SRS1328024,soil metagenome,,,,SRS958434,hot springs metagenome
,,,,,,,,SRS3455250,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS3455250,soil metagenome
,,,,,,,,SRS3455216,soil metagenome,,,,ERS785397,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS3455216,soil metagenome
,,,,,,,,SRS4414917,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS4414917,soil metagenome
,,,,,,,,SRS4414917,soil metagenome,,,,ERS785435,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS4414917,soil metagenome
,,,,,,,,SRS2594337,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS2594337,marine sediment metagenome
,,,,,,,,SRS1328024,soil metagenome,,,,SRS913791,seawater metagenome,,,SRS1328024,soil metagenome,,,,SRS1328024,soil metagenome
,,,,,,,,SRS1565984,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS1565984,soil metagenome
,,,,,,,,SRS2594414,marine sediment metagenome,,,,SRS3454481,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS2594414,marine sediment metagenome
,,,,,,,,SRS2789958,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS2789958,marine sediment metagenome
,,,,,,,,SRS3454985,soil metagenome,,,,SRS913799,seawater metagenome,,,SRS1328024,soil metagenome,,,,SRS3454985,soil metagenome
,,,,,,,,SRS3455309,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS3455309,soil metagenome
,,,,,,,,ERS785446,soil metagenome,,,,SRS3454751,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS785446,soil metagenome
,,,,,,,,SRS3454644,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS3454644,soil metagenome
,,,,,,,,SRS3454843,soil metagenome,,,,SRS1572630,peat metagenome,,,SRS1328024,soil metagenome,,,,SRS3454843,soil metagenome
,,,,,,,,SRS4189881,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS4189881,soil metagenome
,,,,,,,,SRS2594299,marine sediment metagenome,,,,ERS785436,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS2594299,marine sediment metagenome
,,,,,,,,SRS3454616,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS3454616,soil metagenome
,,,,,,,,SRS4189895,soil metagenome,,,,ERS785473,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS4189895,soil metagenome
,,,,,,,,SRS4311856,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS4311856,soil metagenome
,,,,,,,,SRS4414923,soil metagenome,,,,SRS4391960,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS4414923,soil metagenome
,,,,,,,,SRS2593032,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS2593032,marine sediment metagenome
,,,,,,,,SRS4189894,soil metagenome,,,,SRS958474,hot springs metagenome,,,SRS1328024,soil metagenome,,,,SRS4189894,soil metagenome
,,,,,,,,SRS4189863,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS4189863,soil metagenome
,,,,,,,,SRS4189824,soil metagenome,,,,ERS785440,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS4189824,soil metagenome
,,,,,,,,SRS4414917,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS4414917,soil metagenome
,,,,,,,,SRS4414922,soil metagenome,,,,ERS785482,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS4414922,soil metagenome
,,,,,,,,SRS2758492,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS2758492,freshwater sediment metagenome
,,,,,,,,SRS3454486,soil metagenome,,,,SRS2094430,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS3454486,soil metagenome
,,,,,,,,SRS4189829,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS4189829,soil metagenome
,,,,,,,,SRS4414910,soil metagenome,,,,SRS913794,seawater metagenome,,,SRS1328024,soil metagenome,,,,SRS4414910,soil metagenome
,,,,,,,,SRS4347110,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS4347110,activated sludge metagenome
,,,,,,,,ERS1798545,soil metagenome,,,,SRS2789967,marine sediment metagenome,,,SRS1328024,soil metagenome,,,,ERS1798545,soil metagenome
,,,,,,,,ERS785387,#N/A,,,,,,,,SRS1328024,soil metagenome,,,,ERS785387,soil metagenome
,,,,,,,,ERS785386,soil metagenome,,,,ERS785410,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS785386,soil metagenome
,,,,,,,,SRS3455023,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS3455023,soil metagenome
,,,,,,,,ERS1265005,soil metagenome,,,,SRS3455017,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS1265005,soil metagenome
,,,,,,,,ERS1798493,#N/A,,,,,,,,SRS1328024,soil metagenome,,,,ERS1798493,soil metagenome
,,,,,,,,ERS1798518,soil metagenome,,,,SRS3455001,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS1798518,soil metagenome
,,,,,,,,SRS4414922,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS4414922,soil metagenome
,,,,,,,,SRS3454635,soil metagenome,,,,ERS1222775,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS3454635,soil metagenome
,,,,,,,,ERS785530,#N/A,,,,,,,,SRS1328024,soil metagenome,,,,ERS785530,soil metagenome
,,,,,,,,SRS3455249,soil metagenome,,,,SRS3455135,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS3455249,soil metagenome
,,,,,,,,SRS4189864,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS4189864,soil metagenome
,,,,,,,,SRS4414922,soil metagenome,,,,SRS4414903,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS4414922,soil metagenome
,,,,,,,,SRS2592933,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS2592933,marine sediment metagenome
,,,,,,,,ERS785401,soil metagenome,,,,ERS1222782,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS785401,soil metagenome
,,,,,,,,SRS3455267,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS3455267,soil metagenome
,,,,,,,,SRS3455245,soil metagenome,,,,ERS785381,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS3455245,soil metagenome
,,,,,,,,SRS3454787,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS3454787,soil metagenome
,,,,,,,,SRS2594219,marine sediment metagenome,,,,SRS4347090,activated sludge metagenome,,,SRS1328024,soil metagenome,,,,SRS2594219,marine sediment metagenome
,,,,,,,,SRS2789985,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS2789985,marine sediment metagenome
,,,,,,,,SRS3455275,soil metagenome,,,,SRS2763840,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS3455275,soil metagenome
,,,,,,,,SRS4414922,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS4414922,soil metagenome
,,,,,,,,ERS785366,soil metagenome,,,,SRS3020361,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS785366,soil metagenome
,,,,,,,,SRS1609384,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS1609384,soil metagenome
,,,,,,,,SRS1806412,soil metagenome,,,,SRS4189879,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS1806412,soil metagenome
,,,,,,,,SRS3454632,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS3454632,soil metagenome
,,,,,,,,SRS3455108,soil metagenome,,,,ERS1222788,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS3455108,soil metagenome
,,,,,,,,SRS4189859,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS4189859,soil metagenome
,,,,,,,,SRS958477,hot springs metagenome,,,,ERS1222785,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS958477,hot springs metagenome
,,,,,,,,ERS1798675,#N/A,,,,,,,,SRS1328024,soil metagenome,,,,ERS1798675,soil metagenome
,,,,,,,,ERS785476,soil metagenome,,,,SRS3454880,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS785476,soil metagenome
,,,,,,,,SRS4189861,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS4189861,soil metagenome
,,,,,,,,SRS4414899,soil metagenome,,,,ERS1222784,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS4414899,soil metagenome
,,,,,,,,SRS3612017,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS3612017,hot springs metagenome
,,,,,,,,ERS785442,soil metagenome,,,,SRS851311,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS785442,soil metagenome
,,,,,,,,SRS3454732,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS3454732,soil metagenome
,,,,,,,,SRS2592952,marine sediment metagenome,,,,ERS785441,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS2592952,marine sediment metagenome
,,,,,,,,SRS2594464,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS2594464,marine sediment metagenome
,,,,,,,,SRS2594412,marine sediment metagenome,,,,SRS3020378,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS2594412,marine sediment metagenome
,,,,,,,,SRS4114493,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS4114493,groundwater metagenome
,,,,,,,,SRS958418,hot springs metagenome,,,,ERS1222786,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS958418,hot springs metagenome
,,,,,,,,DRS026693,#N/A,,,,,,,,SRS1328024,soil metagenome,,,,DRS026693,sediment metagenome
,,,,,,,,ERS1798541,soil metagenome,,,,SRS1572626,peat metagenome,,,SRS1328024,soil metagenome,,,,ERS1798541,soil metagenome
,,,,,,,,SRS3038151,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS3038151,aquatic metagenome
,,,,,,,,SRS1609399,soil metagenome,,,,SRS3454881,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS1609399,soil metagenome
,,,,,,,,NA,#N/A,,,,,,,,SRS1328024,soil metagenome,,,,NA,#N/A
,,,,,,,,SRS3454470,soil metagenome,,,,SRS1572649,peat metagenome,,,SRS1328024,soil metagenome,,,,SRS3454470,soil metagenome
,,,,,,,,SRS4414917,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS4414917,soil metagenome
,,,,,,,,SRS2592996,marine sediment metagenome,,,,SRS4331280,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS2592996,marine sediment metagenome
,,,,,,,,SRS2872829,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS2872829,sediment metagenome
,,,,,,,,ERS785444,soil metagenome,,,,ERS1222780,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS785444,soil metagenome
,,,,,,,,SRS942337,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS942337,soil metagenome
,,,,,,,,SRS1157462,soil metagenome,,,,SRS1961879,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS1157462,soil metagenome
,,,,,,,,SRS1565979,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS1565979,soil metagenome
,,,,,,,,SRS4414922,soil metagenome,,,,SRS1565965,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS4414922,soil metagenome
,,,,,,,,ERS1222777,#N/A,,,,,,,,SRS1328024,soil metagenome,,,,ERS1222777,soil metagenome
,,,,,,,,ERS785378,soil metagenome,,,,SRS1565964,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS785378,soil metagenome
,,,,,,,,ERS785364,#N/A,,,,,,,,SRS1328024,soil metagenome,,,,ERS785364,soil metagenome
,,,,,,,,SRS3454630,soil metagenome,,,,ERS785395,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS3454630,soil metagenome
,,,,,,,,SRS3454476,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS3454476,soil metagenome
,,,,,,,,SRS4414903,soil metagenome,,,,SRS958422,hot springs metagenome,,,SRS1328024,soil metagenome,,,,SRS4414903,soil metagenome
,,,,,,,,SRS2285824,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS2285824,soil metagenome
,,,,,,,,SRS4414903,soil metagenome,,,,SRS4331282,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS4414903,soil metagenome
,,,,,,,,SRS2593046,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS2593046,marine sediment metagenome
,,,,,,,,SRS4179327,marine sediment metagenome,,,,ERS785528,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS4179327,marine sediment metagenome
,,,,,,,,SRS4293835,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS4293835,marine sediment metagenome
,,,,,,,,SRS3455248,soil metagenome,,,,SRS4347093,activated sludge metagenome,,,SRS1328024,soil metagenome,,,,SRS3455248,soil metagenome
,,,,,,,,SRS2592934,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS2592934,marine sediment metagenome
,,,,,,,,ERS1222765,soil metagenome,,,,SRS500620,hot springs metagenome,,,SRS1328024,soil metagenome,,,,ERS1222765,soil metagenome
,,,,,,,,ERS785534,#N/A,,,,,,,,SRS1328024,soil metagenome,,,,ERS785534,soil metagenome
,,,,,,,,SRS1609414,soil metagenome,,,,ERS1222759,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS1609414,soil metagenome
,,,,,,,,SRS3455263,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS3455263,soil metagenome
,,,,,,,,SRS2594298,marine sediment metagenome,,,,SRS4347112,activated sludge metagenome,,,SRS1328024,soil metagenome,,,,SRS2594298,marine sediment metagenome
,,,,,,,,ERS1798589,#N/A,,,,,,,,SRS1328024,soil metagenome,,,,ERS1798589,soil metagenome
,,,,,,,,SRS1609393,soil metagenome,,,,ERS1456388,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS1609393,soil metagenome
,,,,,,,,SRS1609396,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS1609396,soil metagenome
,,,,,,,,SRS4189892,soil metagenome,,,,SRS1572651,peat metagenome,,,SRS1328024,soil metagenome,,,,SRS4189892,soil metagenome
,,,,,,,,SRS4414923,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS4414923,soil metagenome
,,,,,,,,ERS1456402,soil metagenome,,,,SRS3454666,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS1456402,soil metagenome
,,,,,,,,ERS785409,#N/A,,,,,,,,SRS1328024,soil metagenome,,,,ERS785409,soil metagenome
,,,,,,,,SRS1609400,soil metagenome,,,,SRS958487,hot springs metagenome,,,SRS1328024,soil metagenome,,,,SRS1609400,soil metagenome
,,,,,,,,SRS3454878,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS3454878,#N/A
,,,,,,,,SRS3455158,#N/A,,,,SRS1505137,aquatic metagenome,,,SRS1328024,soil metagenome,,,,SRS3455158,#N/A
,,,,,,,,SRS4414897,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS4414897,soil metagenome
,,,,,,,,SRS4414923,soil metagenome,,,,SRS3455125,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS4414923,soil metagenome
,,,,,,,,SRS1921922,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS1921922,aquatic metagenome
,,,,,,,,SRS3454720,soil metagenome,,,,ERS785465,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS3454720,soil metagenome
,,,,,,,,SRS3455130,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS3455130,soil metagenome
,,,,,,,,SRS4189820,soil metagenome,,,,SRS3455117,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS4189820,soil metagenome
,,,,,,,,SRS2594220,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS2594220,marine sediment metagenome
,,,,,,,,ERS1456358,soil metagenome,,,,SRS958468,hot springs metagenome,,,SRS1328024,soil metagenome,,,,ERS1456358,soil metagenome
,,,,,,,,SRS3455089,soil metagenome,,,,,,,,SRS1328024,soil metagenome,,,,SRS3455089,soil metagenome
,,,,,,,,SRS2594291,marine sediment metagenome,,,,SRS1572630,peat metagenome,,,SRS1328024,soil metagenome,,,,SRS2594291,marine sediment metagenome
,,,,,,,,ERS1798676,#N/A,,,,,,,,SRS1328024,soil metagenome,,,,ERS1798676,soil metagenome
